"","Family","n_clusters"
"252","Limoniidae",55
"253","Linyphiidae",17
"254","Liposcelididae",26
"255","Lonchaeidae",5
"256","Lumbricidae",2
"257","Lutjanidae",2
"258","Lycaenidae",5
"259","Lychnocolacidae",1
"260","Lycidae",5
"261","Lycosidae",10
"262","Lygaeidae",4
"263","Lymexylidae",1
"264","Lyonetiidae",5
"265","Macrobiotidae",1
"266","Macrochelidae",3
"267","Mantellidae",17
"268","Mantidae",7
"269","Mantispidae",2
"270","Marginidae",1
"271","Meenoplidae",20
"272","Megascolecidae",2
"273","Megaspilidae",3
"274","Melicharidae",2
"275","Meloidae",1
"276","Membracidae",1
"277","Mesembrinellidae",2
"278","Mesopsocidae",2
"279","Microgyniidae",1
"280","Microhylidae",6
"281","Micropezidae",11
"282","Microphysidae",2
"283","Micropterigidae",1
"284","Microtrombidiidae",2
"285","Milichiidae",11
"286","Mimetidae",1
"287","Miridae",67
"288","Mochlozetidae",1
"289","Mogoplistidae",1
"290","Molannidae",1
"291","Momphidae",1
"292","Mordellidae",54
"293","Muridae",2
"294","Muscicapidae",1
"295","Muscidae",173
"296","Mutillidae",6
"297","Mycetophagidae",4
"298","Mycetophilidae",224
"299","Mymaridae",144
"300","Myopsocidae",3
"301","Myrmeleontidae",1
"302","Mysmenidae",3
"303","Nanorchestidae",1
"304","Neanuridae",19
"305","Nemestrinidae",1
"306","Nemouridae",8
"307","Neoliodidae",4
"308","Nepticulidae",32
"309","Neriidae",2
"310","Nesticidae",5
"311","Nitidulidae",9
"312","Noctuidae",55
"313","Nogodinidae",3
"314","Nolidae",4
"315","Notodontidae",2
"316","Numididae",1
"317","Nymphalidae",41
"318","Ochyroceratidae",1
"319","Octochaetidae",3
"320","Oecobiidae",3
"321","Oecophoridae",17
"322","Oedemeridae",1
"323","Oligotomidae",18
"324","Olindiidae",1
"325","Onychiuridae",1
"326","Oppiidae",1
"327","Orchesellidae",6
"328","Oribatellidae",2
"329","Oribatulidae",3
"330","Oxyopidae",3
"331","Pachygronthidae",1
"332","Palpimanidae",1
"333","Paracaeciliidae",1
"334","Paradoxosomatidae",1
"335","Parasitidae",4
"336","Paronellidae",142
"337","Pediciidae",4
"338","Penaeidae",3
"339","Pentatomidae",7
"340","Perilampidae",1
"341","Peripsocidae",1
"342","Periscelididae",3
"343","Perlodidae",4
"344","Peronosporaceae",16
"345","Petrothrincidae",1
"346","Phalacridae",13
"347","Phalangiidae",4
"348","Phasianidae",3
"349","Phasmatidae",2
"350","Pheroliodidae",1
"351","Philodromidae",2
"352","Philopotamidae",5
"353","Phlaeothripidae",2
"354","Phocoenidae",1
"355","Pholcidae",6
"356","Phoridae",575
"357","Phthiracaridae",1
"358","Phylloscopidae",1
"359","Phytoseiidae",10
"360","Phyxelididae",1
"361","Pieridae",13
"362","Piophilidae",1
"363","Pipunculidae",21
"364","Pisauridae",6
"365","Platygastridae",679
"366","Platypezidae",1
"367","Platystomatidae",2
"368","Poeciliidae",1
"369","Polleniidae",3
"370","Polyaspididae",2
"371","Polycentropodidae",3
"372","Polyxenidae",1
"373","Pompilidae",51
"374","Porcellionidae",1
"375","Prionoglarididae",2
"376","Proctotrupidae",8
"377","Psenidae",2
"378","Pseudocaeciliidae",12
"379","Psilidae",3
"380","Psocidae",7
"381","Psoquillidae",2
"382","Psychidae",10
"383","Psychodidae",342
"384","Psyllidae",5
"385","Psyllipsocidae",1
"386","Pteromalidae",14
"387","Pterophoridae",12
"388","Ptiliidae",3
"389","Ptilodactylidae",1
"390","Ptiloneuridae",1
"391","Ptinidae",1
"392","Pulicidae",2
"393","Pycnonotidae",1
"394","Pygmephoridae",7
"395","Pyralidae",56
"396","Pyroglyphidae",2
"397","Pyrrhocoridae",2
"398","Pythiaceae",11
"399","Rallidae",1
"400","Ranidae",1
"401","Raphignathidae",1
"402","Reduviidae",14
"403","Rhabditidae",1
"404","Rhadalidae",38
"405","Rhagionidae",2
"406","Rhinodrilidae",1
"407","Rhinotermitidae",3
"408","Rhopalidae",1
"409","Rhyacophilidae",1
"410","Rhyparochromidae",12
"411","Ricaniidae",35
"412","Riodinidae",3
"413","Salamandridae",1
"414","Salticidae",10
"415","Saprolegniaceae",2
"416","Sarcophagidae",31
"417","Saturniidae",1
"418","Scarabaeidae",11
"419","Scaridae",1
"420","Scathophagidae",20
"421","Scatopsidae",9
"422","Scelionidae",12
"423","Scenopinidae",2
"424","Scheloribatidae",4
"425","Schizopteridae",2
"426","Sciaridae",1094
"427","Scincidae",2
"428","Sciomyzidae",4
"429","Scirtidae",4
"430","Sclerogibbidae",1
"431","Scoliidae",1
"432","Scombridae",1
"433","Scraptiidae",17
"434","Scutelleridae",1
"435","Scutoverticidae",1
"436","Scythrididae",3
"437","Scytodidae",4
"438","Selenopidae",1
"439","Sepsidae",8
"440","Serranidae",1
"441","Sesarmidae",1
"442","Sicariidae",1
"443","Signiphoridae",3
"444","Silvanidae",2
"445","Simuliidae",25
"446","Sisyridae",2
"447","Sminthuridae",5
"448","Sminthurididae",4
"449","Soricidae",1
"450","Sparassidae",2
"451","Sphaeroceridae",62
"452","Sphecidae",1
"453","Sphingidae",18
"454","Staphylinidae",63
"455","Stathmopodidae",4
"456","Stenopsocidae",1
"457","Stratiomyidae",19
"458","Suidae",2
"459","Syrphidae",44
"460","Tabanidae",36
"461","Tachinidae",73
"462","Tarsonemidae",4
"463","Tenebrionidae",35
"464","Tenthredinidae",31
"465","Tenuipalpidae",3
"466","Tephritidae",18
"467","Termitidae",73
"468","Tetragnathidae",2
"469","Tetrigidae",11
"470","Tettigoniidae",37
"471","Therevidae",2
"472","Theridiidae",30
"473","Thomisidae",5
"474","Threskiornithidae",1
"475","Thripidae",34
"476","Throscidae",1
"477","Tineidae",79
"478","Tingidae",4
"479","Tiphiidae",1
"480","Tipulidae",6
"481","Tonzidae",1
"482","Tortricidae",102
"483","Torymidae",2
"484","Trachelidae",5
"485","Trematuridae",1
"486","Trichoceridae",1
"487","Trichogrammatidae",27
"488","Trigonidiidae",12
"489","Triozidae",6
"490","Trogiidae",8
"491","Trombidiidae",4
"492","Tropiduchidae",3
"493","Tydeidae",6
"494","Uraniidae",3
"495","Urodinychidae",2
"496","Veliidae",1
"497","Veneridae",1
"498","Vespertilionidae",1
"499","Vespidae",7
"500","Viridasiidae",3
"501","Xylophagidae",1
"502","Xyloryctidae",3
"503","Yponomeutidae",1
"504","Ypsolophidae",2
"505","Zoarcidae",36
"506","Zodariidae",3
"507","Zopheridae",13
"508","Zosteropidae",1
