"","higher_taxon","Family","length_min","length_max","main_feeding_niche_ronquist","main_feeding_habitat_ronquist","in_IBA","n_otu","n_obs","reads"
"336","Sarcoptiformes","Compactozetidae",NA,NA,NA,NA,TRUE,1,2,14
"337","Mesostigmata","Dermanyssidae",NA,NA,NA,NA,TRUE,2,5,33
"338","Passeriformes","Turdidae",NA,NA,NA,NA,TRUE,1,4,40
"339","Strigiformes","Strigidae",NA,NA,NA,NA,TRUE,1,1,13
"340","Sarcoptiformes","Licneremaeidae",NA,NA,NA,NA,TRUE,1,1,12
"341","Anostraca","Artemiidae",NA,NA,NA,NA,TRUE,1,1,12
"342","Trombidiformes","Trombiculidae",NA,NA,NA,NA,TRUE,1,5,38
"343","Artiodactyla","Camelidae",NA,NA,NA,NA,TRUE,2,1,16
"344","Sarcoptiformes","Hermanniidae",NA,NA,NA,NA,TRUE,1,1,11
"345","Passeriformes","Motacillidae",NA,NA,NA,NA,TRUE,1,1,11
"346","Lagomorpha","Leporidae",NA,NA,NA,NA,TRUE,2,2,19
"347","Perissodactyla","Equidae",NA,NA,NA,NA,TRUE,1,2,17
"348","Dorylaimida","Longidoridae",NA,NA,NA,NA,TRUE,1,1,11
"349","Passeriformes","Tyrannidae",NA,NA,NA,NA,TRUE,1,1,11
"350","Mesostigmata","Pachylaelapidae",NA,NA,NA,NA,TRUE,1,1,10
"351","Saprolegniales","Saprolegniaceae",NA,NA,NA,NA,TRUE,1,2,13
"352","Sarcoptiformes","Carpoglyphidae",NA,NA,NA,NA,TRUE,1,1,8
"353","Sarcoptiformes","Euphthiracaridae",NA,NA,NA,NA,TRUE,1,1,7
"354","Trombidiformes","Phytoptidae",NA,NA,NA,NA,TRUE,2,2,13
"355","Stylommatophora","Valloniidae",NA,NA,NA,NA,TRUE,1,1,7
"356","Scorpaeniformes","Cottidae",NA,NA,NA,NA,TRUE,1,1,7
"357","Sarcoptiformes","Xenillidae",NA,NA,NA,NA,TRUE,1,1,6
"358","Passeriformes","Laniidae",NA,NA,NA,NA,TRUE,1,1,6
"359","Esociformes","Esocidae",NA,NA,NA,NA,TRUE,1,1,6
"360","Passeriformes","Bombycillidae",NA,NA,NA,NA,TRUE,1,1,6
"361","Anthoathecata","Hydridae",NA,NA,NA,NA,TRUE,1,1,6
"362","Stylommatophora","Cochlicopidae",NA,NA,NA,NA,TRUE,1,1,6
"363","Passeriformes","Hirundinidae",NA,NA,NA,NA,TRUE,1,1,6
"364","Sarcoptiformes","Proctophyllodidae",NA,NA,NA,NA,TRUE,1,1,5
"365","Diplostraca","Eurycercidae",NA,NA,NA,NA,TRUE,1,1,5
"366","Rhabditida","Neotylenchidae",NA,NA,NA,NA,TRUE,1,1,5
"367","Sarcoptiformes","Scutoverticidae",NA,NA,NA,NA,TRUE,1,1,5
"368","Decapoda","Astacidae",NA,NA,NA,NA,TRUE,2,3,11
"369","Gasterosteiformes","Gasterosteidae",NA,NA,NA,NA,TRUE,1,1,4
"370","Unionida","Unionidae",NA,NA,NA,NA,TRUE,1,1,4
"371","Stylommatophora","Euconulidae",NA,NA,NA,NA,TRUE,1,1,3
"372","Stylommatophora","Hygromiidae",NA,NA,NA,NA,TRUE,1,1,3
"373","Mesostigmata","Polyaspididae",NA,NA,NA,NA,TRUE,1,1,3
